ts,origin_netload,origin_speed,netload_10,speed_10,netload_20,speed_20,netload_30,speed_30,netload_40,speed_40,netload_5,speed_5,netload_50,speed_50
65,5610,22.0516974916461,5605,22.06655635176645,5600,22.08142931929901,5596,22.0933378606727,5592,22.10525544795161,5607,22.060611115663093,5593,22.10227520266116
66,5652,21.92743798844531,5511,22.34854504153792,5401,22.684995895958995,5222,23.24778556452589,5096,23.65560948274399,5579,22.144050172070298,4968,24.08004612424672
67,5706,21.76912267552616,5401,22.684995895958995,5104,23.629423880956185,4766,24.77119430000302,4520,25.649192974053253,5561,22.197924302514103,4212,26.806356281028616
68,5991,20.95980744132758,5672,21.868613729617287,5358,22.818444883099595,5090,23.675274876455987,4824,24.570033916775863,5852,21.34909490657729,4513,25.67477162909877
69,6393,19.889260758276663,6114,20.623697553720618,5855,21.34058502277507,5569,22.173957504258635,5238,23.19669547086048,6243,20.279387915944625,5058,23.7805371762014
70,6757,18.986093871055544,6514,19.58233294213907,6228,20.31900051180977,5946,21.08472362284285,5644,21.95103021254126,6597,19.375701493084108,5484,22.43047751598844
71,6819,18.83813445201912,6592,19.388060592566305,6343,20.01810194885152,6192,20.414522642701478,6008,20.912890792535585,6668,19.201413200919102,5800,21.497367310963348
72,6591,19.39053376703433,6407,19.853397769304657,6302,20.12464397949492,6209,20.369335261916834,6121,20.60480089706164,6517,19.574809506450237,5933,21.12100756573817
73,6046,20.80855737028944,5906,21.196650555349947,5843,21.374653458594352,5852,21.34909490657729,5840,21.383182620092107,6001,20.93219129609897,5728,21.705086600635997
74,5368,22.78731263349918,5464,22.49144009733921,5563,22.19192918809564,5706,21.76912267552616,5886,21.25293071467809,5435,22.58024894810084,6013,20.899120221432668
75,4789,24.691160063274825,5040,23.840029544601364,5339,22.87775979212285,5579,22.144050172070298,5886,21.25293071467809,4906,24.28937417885308,6201,20.39058210733615
76,4300,26.469084320211323,4493,25.748036737489745,4754,24.813089358971634,4952,24.13383062032036,5205,23.3022397455258,4395,26.110974943522155,5460,22.503660474911257
77,3862,28.20075671070281,3982,27.713158656419843,4105,27.22366374605404,4253,26.648552669395748,4401,26.0885655960459,3925,27.943536222601537,4554,25.52542584688669
78,3554,29.49666797305769,3625,29.19239614881651,3716,28.80720946742558,3808,28.42338481294427,3888,28.094273299596058,3591,29.33769963247749,3998,27.648893316278397
79,3289,30.65978268528813,3333,30.46380584846992,3392,30.20274747980224,3456,29.92188371770656,3507,29.69985178820297,3308,30.575023785900743,3572,29.41922279544567
80,3176,31.16786706144533,3208,31.02331110129185,3248,30.843355258371552,3300,30.610687386688763,3324,30.503803787375723,3193,31.091007436353056,3372,30.29101589378595
81,3154,31.267544665231597,3179,31.15429311745059,3208,31.02331110129185,3242,30.87029518433791,3270,30.744739899110726,3166,31.21314567271277,3319,30.52604461199549
82,3118,31.43115560551356,3145,31.30838966522796,3159,31.24486990003629,3182,31.140723647900163,3189,31.10907903257533,3133,31.362909898584107,3238,30.88826571027223
83,3027,31.847337016079635,3040,31.78766574106221,3053,31.728064311333,3075,31.62736361394683,3088,31.567957511518458,3033,31.819787844621988,3113,31.45392742315863
84,2931,32.289995943508295,2937,32.26223306577736,2956,32.174397935532205,2964,32.137452353773035,2974,32.09130261321735,2937,32.26223306577736,2985,32.04058013335739
85,2828,32.76829363567281,2831,32.75432193851812,2851,32.661233967034164,2855,32.642628616843375,2860,32.61937787522679,2832,32.74966518665518,2883,32.51251275361755
86,2687,33.42689194123943,2694,33.39413004515342,2708,33.32861999753619,2713,33.30522849062016,2722,33.263131029137824,2691,33.40817033819516,2730,33.22571947571602
87,2500,34.30214586748386,2507,34.26943657161482,2514,34.23671877204144,2513,34.241393243041074,2527,34.17593646407812,2502,34.29280125454523,2535,34.13851984848397
88,2356,34.97215635246965,2361,34.949014274346574,2362,34.94438454175084,2363,34.9397543748101,2374,34.8887944375929,2357,34.96752882147558,2375,34.884159212603265
89,2196,35.705368975948204,2198,35.69631070081897,2202,35.67818459072764,2204,35.66911679504364,2212,35.6328144640222,2198,35.69631070081897,2218,35.60555555381753
90,1952,36.77993857991181,1958,36.754403761994936,1965,36.72454587243544,1961,36.7416163363023,1969,36.70745209599461,1953,36.77568650523638,1972,36.694616587693126
91,1727,37.692076106184594,1731,37.67675192412939,1734,37.66523477682517,1734,37.66523477682517,1740,37.64213918894625,1728,37.68824850230282,1745,37.62283092835358
92,1512,38.45508408299248,1515,38.44534780506244,1521,38.42579057817239,1522,38.42252011053915,1528,38.402832085609575,1512,38.45508408299248,1528,38.402832085609575
93,1307,39.04775891237983,1308,39.04524052163274,1312,39.03512822412538,1314,39.030048875706655,1321,39.012149762481165,1307,39.04775891237983,1320,39.01471831604883
94,1096,39.488774807602006,1104,39.47542339243214,1108,39.46864679989908,1107,39.47034725392801,1109,39.466942141874455,1099,39.48379955012101,1116,39.45489182570501
95,647,39.85333466719956,655,39.85191456457908,659,39.85116425055063,659,39.85116425055063,669,39.84916615387026,650,39.85281449753887,676,39.84765955122202
