ID,省份名,城市名,cv,con_y,env_y
43.0,山西省,太原市,0.641742227922922,0.28058337638521214,0.21622821252982977
53.0,山东省,泰安市,0.65244598725547,0.28811616842301147,0.2228642436107482
95.0,天津市,天津市,0.722111034016003,0.3371430844108301,0.2660546219809693
88.0,山东省,潍坊市,0.706899056756258,0.32643762499033,0.25662362201529076
38.0,浙江省,温州市,0.639029568001804,0.2786743365404055,0.21454643933321443
6.0,云南省,文山壮族苗族自治州,0.571242594933603,0.23096911866971298,0.1725204140661757
99.0,新疆维吾尔自治区,乌鲁木齐市,0.74849265550374,0.35570920329606803,0.2824104886179647
90.0,江苏省,无锡市,0.707810487267955,0.32707904603579785,0.2571886834124887
66.0,湖北省,武汉市,0.668653447971891,0.29952220131711416,0.2329124154460292
20.0,陕西省,西安市,0.602103526820923,0.2526875612072782,0.19165332773022126
